formula,tool,exit_status,exit_code,time,states,edges,transitions,acc,scc,nondet_states,nondet_aut,complete_aut,automaton
F((a) & (!(b)) & ((b) R ((b) | (c)))),yes.seminator#def,ok,0,0.00820206,3,5,23,1,3,1,1,0,"HOA: v1 name: ""sDBA for F(a & !b & (c W b))"" States: 3 Start: 0 AP: 3 ""b"" ""c"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc semi-deterministic stutter-invariant very-weak --BODY-- State: 0 [t] 0 [!0&1&2] 1 State: 1 {0} [!0&1] 1 [0] 2 State: 2 {0} [t] 2 --END--"
F((a) & (!(b)) & ((b) R ((b) | (c)))),no.seminator#def,ok,0,0.00968075,3,5,23,1,3,1,1,0,"HOA: v1 name: ""sDBA for F(a & !b & (c W b))"" States: 3 Start: 0 AP: 3 ""b"" ""c"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc semi-deterministic stutter-invariant very-weak --BODY-- State: 0 [t] 0 [!0&1&2] 1 State: 1 {0} [!0&1] 1 [0] 2 State: 2 {0} [t] 2 --END--"
F((a) & (!(b)) & ((b) R ((b) | (c)))),yes.seminator#tgba,ok,0,0.0100401,3,5,23,1,3,1,1,0,"HOA: v1 name: ""sDBA for F(a & !b & (c W b))"" States: 3 Start: 0 AP: 3 ""b"" ""c"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc semi-deterministic stutter-invariant very-weak --BODY-- State: 0 [t] 0 [!0&1&2] 1 State: 1 {0} [!0&1] 1 [0] 2 State: 2 {0} [t] 2 --END--"
F((a) & (!(b)) & ((b) R ((b) | (c)))),no.seminator#tgba,ok,0,0.00767543,3,5,23,1,3,1,1,0,"HOA: v1 name: ""sDBA for F(a & !b & (c W b))"" States: 3 Start: 0 AP: 3 ""b"" ""c"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc semi-deterministic stutter-invariant very-weak --BODY-- State: 0 [t] 0 [!0&1&2] 1 State: 1 {0} [!0&1] 1 [0] 2 State: 2 {0} [t] 2 --END--"
F((a) & (!(b)) & ((b) R ((b) | (c)))),yes.seminator#tba,ok,0,0.0112411,3,5,23,1,3,1,1,0,"HOA: v1 name: ""sDBA for F(a & !b & (c W b))"" States: 3 Start: 0 AP: 3 ""b"" ""c"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc semi-deterministic stutter-invariant very-weak --BODY-- State: 0 [t] 0 [!0&1&2] 1 State: 1 {0} [!0&1] 1 [0] 2 State: 2 {0} [t] 2 --END--"
F((a) & (!(b)) & ((b) R ((b) | (c)))),no.seminator#tba,ok,0,0.011431,3,5,23,1,3,1,1,0,"HOA: v1 name: ""sDBA for F(a & !b & (c W b))"" States: 3 Start: 0 AP: 3 ""b"" ""c"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc semi-deterministic stutter-invariant very-weak --BODY-- State: 0 [t] 0 [!0&1&2] 1 State: 1 {0} [!0&1] 1 [0] 2 State: 2 {0} [t] 2 --END--"
F((a) & (!(b)) & ((b) R ((b) | (c)))),yes.seminator#sba,ok,0,0.0115874,3,5,23,1,3,1,1,0,"HOA: v1 name: ""sDBA for F(a & !b & (c W b))"" States: 3 Start: 0 AP: 3 ""b"" ""c"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc semi-deterministic stutter-invariant very-weak --BODY-- State: 0 [t] 0 [!0&1&2] 1 State: 1 {0} [!0&1] 1 [0] 2 State: 2 {0} [t] 2 --END--"
F((a) & (!(b)) & ((b) R ((b) | (c)))),no.seminator#sba,ok,0,0.0125917,3,5,23,1,3,1,1,0,"HOA: v1 name: ""sDBA for F(a & !b & (c W b))"" States: 3 Start: 0 AP: 3 ""b"" ""c"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc semi-deterministic stutter-invariant very-weak --BODY-- State: 0 [t] 0 [!0&1&2] 1 State: 1 {0} [!0&1] 1 [0] 2 State: 2 {0} [t] 2 --END--"
F((a) & (!(b)) & ((b) R ((b) | (c)))),yes.seminator-1-1,ok,0,0.0155216,3,5,23,1,3,1,1,0,"HOA: v1 States: 3 Start: 0 AP: 3 ""b"" ""c"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc semi-deterministic stutter-invariant very-weak --BODY-- State: 0 [t] 0 [!0&1&2] 1 State: 1 {0} [!0&1] 1 [0] 2 State: 2 {0} [t] 2 --END--"
F((a) & (!(b)) & ((b) R ((b) | (c)))),no.seminator-1-1,ok,0,0.0146722,3,5,23,1,3,1,1,0,"HOA: v1 States: 3 Start: 0 AP: 3 ""b"" ""c"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc semi-deterministic stutter-invariant very-weak --BODY-- State: 0 [t] 0 [!0&1&2] 1 State: 1 {0} [!0&1] 1 [0] 2 State: 2 {0} [t] 2 --END--"
