formula,tool,exit_status,exit_code,time,states,edges,transitions,acc,scc,nondet_states,nondet_aut,complete_aut,automaton
F((a) & (((b) & ((d) R ((c) | (d) | (X((d) R (e)))))) R ((!(d)) & (F((b) & ((c) | (X(G(e))))))))),yes.seminator#def,ok,0,0.0327635,9,26,232,1,9,3,1,0,"HOA: v1 name: ""sDBA for F(a & ((b & ((c | X(d R e)) W d)) R (!d & F(b & (c | XGe)))))"" States: 9 Start: 0 AP: 5 ""a"" ""d"" ""c"" ""b"" ""e"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc semi-deterministic --BODY-- State: 0 [t] 0 [0&!1] 1 [0&!1&!2&3] 2 [0&!1&2&3] 4 [0&!1] 5 [0&!1&!2&3] 6 State: 1 [!0&!1] 1 [!0&!1&!2&3] 2 [!0&!1&2&3] 4 [!0&!1&!2&3] 6 State: 2 [!1&!3&4] 2 [1&!2&4 | 1&!3&4] 3 [1&2&3&4] 7 [!1&2&3&4] 8 State: 3 [!2 | !3] 3 [!0&!2&3 | 1&!2&3] 6 [2&3] 7 State: 4 [!1&2] 4 {0} [1] 7 [!1&!2] 8 State: 5 [!1&!2 | !1&!3] 5 [!1&2&3] 5 {0} State: 6 [4] 6 {0} State: 7 [t] 7 {0} State: 8 [1&4] 7 [!1&4] 8 {0} --END--"
F((a) & (((b) & ((d) R ((c) | (d) | (X((d) R (e)))))) R ((!(d)) & (F((b) & ((c) | (X(G(e))))))))),no.seminator#def,ok,0,0.0285562,9,27,264,1,9,3,1,0,"HOA: v1 name: ""sDBA for F(a & ((b & ((c | X(d R e)) W d)) R (!d & F(b & (c | XGe)))))"" States: 9 Start: 0 AP: 5 ""a"" ""d"" ""c"" ""b"" ""e"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc semi-deterministic --BODY-- State: 0 ""0"" [t] 0 [0&!1] 1 [0&!1&!2&3] 2 [0&!1&2&3] 4 [0&!1] 5 [0&!1&!2&3] 6 State: 1 ""2"" [!1] 1 [!1&!2&3] 2 [!1&2&3] 4 [!1] 5 [!1&!2&3] 6 State: 2 ""4"" [!1&!3&4] 2 [1&!2&4 | 1&!3&4] 3 [1&2&3&4] 7 [!1&2&3&4] 8 State: 3 ""7"" [!2 | !3] 3 [!2&3] 6 [2&3] 7 State: 4 ""1"" [!1&2] 4 {0} [1] 7 [!1&!2] 8 State: 5 ""{2} , ∅ , 0"" [!1&!2 | !1&!3] 5 [!1&2&3] 5 {0} State: 6 ""3"" [4] 6 {0} State: 7 ""5"" [t] 7 {0} State: 8 ""6"" [1&4] 7 [!1&4] 8 {0} --END--"
F((a) & (((b) & ((d) R ((c) | (d) | (X((d) R (e)))))) R ((!(d)) & (F((b) & ((c) | (X(G(e))))))))),yes.seminator#tgba,ok,0,0.0323166,9,26,232,1,9,3,1,0,"HOA: v1 name: ""sDBA for F(a & ((b & ((c | X(d R e)) W d)) R (!d & F(b & (c | XGe)))))"" States: 9 Start: 0 AP: 5 ""a"" ""d"" ""c"" ""b"" ""e"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc semi-deterministic --BODY-- State: 0 [t] 0 [0&!1] 1 [0&!1&!2&3] 2 [0&!1&2&3] 4 [0&!1] 5 [0&!1&!2&3] 6 State: 1 [!0&!1] 1 [!0&!1&!2&3] 2 [!0&!1&2&3] 4 [!0&!1&!2&3] 6 State: 2 [!1&!3&4] 2 [1&!2&4 | 1&!3&4] 3 [1&2&3&4] 7 [!1&2&3&4] 8 State: 3 [!2 | !3] 3 [!0&!2&3 | 1&!2&3] 6 [2&3] 7 State: 4 [!1&2] 4 {0} [1] 7 [!1&!2] 8 State: 5 [!1&!2 | !1&!3] 5 [!1&2&3] 5 {0} State: 6 [4] 6 {0} State: 7 [t] 7 {0} State: 8 [1&4] 7 [!1&4] 8 {0} --END--"
F((a) & (((b) & ((d) R ((c) | (d) | (X((d) R (e)))))) R ((!(d)) & (F((b) & ((c) | (X(G(e))))))))),no.seminator#tgba,ok,0,0.0162326,9,27,264,1,9,3,1,0,"HOA: v1 name: ""sDBA for F(a & ((b & ((c | X(d R e)) W d)) R (!d & F(b & (c | XGe)))))"" States: 9 Start: 0 AP: 5 ""a"" ""d"" ""c"" ""b"" ""e"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc semi-deterministic --BODY-- State: 0 ""0"" [t] 0 [0&!1] 1 [0&!1&!2&3] 2 [0&!1&2&3] 4 [0&!1] 5 [0&!1&!2&3] 6 State: 1 ""2"" [!1] 1 [!1&!2&3] 2 [!1&2&3] 4 [!1] 5 [!1&!2&3] 6 State: 2 ""4"" [!1&!3&4] 2 [1&!2&4 | 1&!3&4] 3 [1&2&3&4] 7 [!1&2&3&4] 8 State: 3 ""7"" [!2 | !3] 3 [!2&3] 6 [2&3] 7 State: 4 ""1"" [!1&2] 4 {0} [1] 7 [!1&!2] 8 State: 5 ""{2} , ∅ , 0"" [!1&!2 | !1&!3] 5 [!1&2&3] 5 {0} State: 6 ""3"" [4] 6 {0} State: 7 ""5"" [t] 7 {0} State: 8 ""6"" [1&4] 7 [!1&4] 8 {0} --END--"
F((a) & (((b) & ((d) R ((c) | (d) | (X((d) R (e)))))) R ((!(d)) & (F((b) & ((c) | (X(G(e))))))))),yes.seminator#tba,ok,0,0.018886,9,26,232,1,9,3,1,0,"HOA: v1 name: ""sDBA for F(a & ((b & ((c | X(d R e)) W d)) R (!d & F(b & (c | XGe)))))"" States: 9 Start: 0 AP: 5 ""a"" ""d"" ""c"" ""b"" ""e"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc semi-deterministic --BODY-- State: 0 [t] 0 [0&!1] 1 [0&!1&!2&3] 2 [0&!1&2&3] 4 [0&!1] 5 [0&!1&!2&3] 6 State: 1 [!0&!1] 1 [!0&!1&!2&3] 2 [!0&!1&2&3] 4 [!0&!1&!2&3] 6 State: 2 [!1&!3&4] 2 [1&!2&4 | 1&!3&4] 3 [1&2&3&4] 7 [!1&2&3&4] 8 State: 3 [!2 | !3] 3 [!0&!2&3 | 1&!2&3] 6 [2&3] 7 State: 4 [!1&2] 4 {0} [1] 7 [!1&!2] 8 State: 5 [!1&!2 | !1&!3] 5 [!1&2&3] 5 {0} State: 6 [4] 6 {0} State: 7 [t] 7 {0} State: 8 [1&4] 7 [!1&4] 8 {0} --END--"
F((a) & (((b) & ((d) R ((c) | (d) | (X((d) R (e)))))) R ((!(d)) & (F((b) & ((c) | (X(G(e))))))))),no.seminator#tba,ok,0,0.0170206,9,27,264,1,9,3,1,0,"HOA: v1 name: ""sDBA for F(a & ((b & ((c | X(d R e)) W d)) R (!d & F(b & (c | XGe)))))"" States: 9 Start: 0 AP: 5 ""a"" ""d"" ""c"" ""b"" ""e"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc semi-deterministic --BODY-- State: 0 ""0"" [t] 0 [0&!1] 1 [0&!1&!2&3] 2 [0&!1&2&3] 4 [0&!1] 5 [0&!1&!2&3] 6 State: 1 ""2"" [!1] 1 [!1&!2&3] 2 [!1&2&3] 4 [!1] 5 [!1&!2&3] 6 State: 2 ""4"" [!1&!3&4] 2 [1&!2&4 | 1&!3&4] 3 [1&2&3&4] 7 [!1&2&3&4] 8 State: 3 ""7"" [!2 | !3] 3 [!2&3] 6 [2&3] 7 State: 4 ""1"" [!1&2] 4 {0} [1] 7 [!1&!2] 8 State: 5 ""{2} , ∅ , 0"" [!1&!2 | !1&!3] 5 [!1&2&3] 5 {0} State: 6 ""3"" [4] 6 {0} State: 7 ""5"" [t] 7 {0} State: 8 ""6"" [1&4] 7 [!1&4] 8 {0} --END--"
F((a) & (((b) & ((d) R ((c) | (d) | (X((d) R (e)))))) R ((!(d)) & (F((b) & ((c) | (X(G(e))))))))),yes.seminator#sba,ok,0,0.017261,9,26,232,1,9,3,1,0,"HOA: v1 name: ""sDBA for F(a & ((b & ((c | X(d R e)) W d)) R (!d & F(b & (c | XGe)))))"" States: 9 Start: 0 AP: 5 ""a"" ""d"" ""c"" ""b"" ""e"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc semi-deterministic --BODY-- State: 0 [t] 0 [0&!1] 1 [0&!1&!2&3] 2 [0&!1&2&3] 4 [0&!1] 5 [0&!1&!2&3] 6 State: 1 [!0&!1] 1 [!0&!1&!2&3] 2 [!0&!1&2&3] 4 [!0&!1&!2&3] 6 State: 2 [!1&!3&4] 2 [1&!2&4 | 1&!3&4] 3 [1&2&3&4] 7 [!1&2&3&4] 8 State: 3 [!2 | !3] 3 [!0&!2&3 | 1&!2&3] 6 [2&3] 7 State: 4 [!1&2] 4 {0} [1] 7 [!1&!2] 8 State: 5 [!1&!2 | !1&!3] 5 [!1&2&3] 5 {0} State: 6 [4] 6 {0} State: 7 [t] 7 {0} State: 8 [1&4] 7 [!1&4] 8 {0} --END--"
F((a) & (((b) & ((d) R ((c) | (d) | (X((d) R (e)))))) R ((!(d)) & (F((b) & ((c) | (X(G(e))))))))),no.seminator#sba,ok,0,0.0143026,11,38,324,1,9,4,1,0,"HOA: v1 name: ""sDBA for F(a & ((b & ((c | X(d R e)) W d)) R (!d & F(b & (c | XGe)))))"" States: 11 Start: 0 AP: 5 ""a"" ""d"" ""c"" ""b"" ""e"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc semi-deterministic --BODY-- State: 0 ""0"" [t] 0 [0&!1] 1 [0&!1&!2&3] 2 [0&!1&2&3] 5 [0&!1] 6 [0&!1&!2&3] 7 State: 1 ""2"" [!1&2&3] 1 [!1&!2&3] 2 [!1&!2 | !1&!3] 3 [!1&2&3] 5 [!1&2&3] 6 [!1&!2&3] 7 [!1&!2 | !1&!3] 8 State: 2 ""4"" [!1&!3&4] 2 [1&!2&4 | 1&!3&4] 4 [1&2&3&4] 9 [!1&2&3&4] 10 State: 3 ""7"" [!1&2&3] 1 [!1&!2&3] 2 [!1&!2 | !1&!3] 3 [!1&2&3] 5 [!1&2&3] 6 [!1&!2&3] 7 [!1&!2 | !1&!3] 8 State: 4 ""8"" [!2 | !3] 4 [!2&3] 7 [2&3] 9 State: 5 ""1"" {0} [!1&2] 5 [1] 9 [!1&!2] 10 State: 6 ""{2} , ∅ , 0"" {0} [!1&2&3] 6 [!1&!2 | !1&!3] 8 State: 7 ""3"" {0} [4] 7 State: 8 ""{7} , ∅ , 0"" [!1&2&3] 6 [!1&!2 | !1&!3] 8 State: 9 ""5"" {0} [t] 9 State: 10 ""6"" {0} [1&4] 9 [!1&4] 10 --END--"
F((a) & (((b) & ((d) R ((c) | (d) | (X((d) R (e)))))) R ((!(d)) & (F((b) & ((c) | (X(G(e))))))))),yes.seminator-1-1,ok,0,0.08723,18,67,478,1,12,4,1,0,"HOA: v1 States: 18 Start: 0 AP: 5 ""a"" ""d"" ""c"" ""b"" ""e"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc semi-deterministic --BODY-- State: 0 [t] 0 [0&!1] 1 [0&!1&!2&3] 2 [0&!1&!2&3] 7 [0&!1&2&3] 8 State: 1 [!0&!1&2&3] 1 [!0&!1&!2&3] 2 [!1&!2 | !1&!3] 3 [!0&!1&!2&3] 7 [!0&!1&2&3] 8 [0&!1&!2&3] 9 [!1] 10 State: 2 [!1&!3&4] 2 [1&!2&4 | 1&!3&4] 4 [1&2&3&4] 5 [!1&2&3&4] 6 State: 3 [!0&!1&2&3] 1 [!0&!1&!2&3] 2 [!1&!2 | !1&!3] 3 [!0&!1&!2&3] 7 [!0&!1&2&3] 8 State: 4 [!2 | !3] 4 [2&3] 5 [!0&!2&3 | 1&!2&3] 7 State: 5 [t] 5 {0} State: 6 [1&4] 5 [!1&4] 6 {0} State: 7 [4] 7 {0} State: 8 [1] 5 [!1&!2] 6 [!1&2] 8 {0} State: 9 [!1&!3&4] 9 [1&!2&4 | 1&!3&4] 13 State: 10 [!1&!3] 10 [!1&2&3] 11 [!1&!2&3] 12 State: 11 [1] 5 [!1&2&3] 11 {0} [!1&2&!3] 14 {0} [!1&!2&!3] 15 {0} [!1&!2&3] 16 {0} State: 12 [1&2&3&4] 5 [!1&!3&!4] 10 [!1&2&3] 11 [!1&!2&3 | !1&!3&4] 12 [1&!2&4 | 1&!3&4] 13 State: 13 [2&3] 5 [!2 | !3] 13 State: 14 [1] 5 [!1&2&3] 11 [!1&2&!3] 14 [!1&!2&!3] 15 [!1&!2&3] 16 State: 15 [1&4] 5 [!1&!3&!4] 10 [!1&2&3] 11 [!1&!2&3&!4] 12 [!1&!3&4] 15 [!1&!2&3&4] 16 State: 16 [1&2&3&4] 5 [!1&!3&!4] 10 [!1&2&3] 11 [!1&!2&3&!4] 12 [!1&!2&4 | !1&!3&4] 16 [1&!2&4 | 1&!3&4] 17 State: 17 [2&3] 5 [!2 | !3] 17 --END--"
F((a) & (((b) & ((d) R ((c) | (d) | (X((d) R (e)))))) R ((!(d)) & (F((b) & ((c) | (X(G(e))))))))),no.seminator-1-1,ok,0,0.0504536,46,236,1372,1,21,7,1,0,"HOA: v1 States: 46 Start: 0 AP: 5 ""a"" ""d"" ""c"" ""b"" ""e"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc semi-deterministic --BODY-- State: 0 ""0"" [t] 0 [0&!1&2&3] 1 [0&!1] 2 [0&!1&!2&3] 3 [0&!1&!2&3] 4 State: 1 ""1"" [!1&2] 1 [1] 5 [!1&!2] 6 [!1&2] 12 State: 2 ""2"" [!1&2&3] 1 [!1] 2 [!1&!2&3] 3 [!1&!2&3] 4 [!1&2&3] 11 State: 3 ""3"" [4] 3 [4] 10 State: 4 ""4"" [!1&!3&4] 4 [1&2&3&4] 5 [!1&2&3&4] 6 [1&!2&4 | 1&!3&4] 7 State: 5 ""5"" [t] 5 [t] 9 State: 6 ""6"" [1&4] 5 [!1&4] 6 [!1&4] 8 State: 7 ""7"" [!2&3] 3 [2&3] 5 [!2 | !3] 7 State: 8 ""(0, {}, {6})"" [!1&4] 8 {0} [1&4] 9 State: 9 ""(0, {}, {5})"" [t] 9 {0} State: 10 ""(0, {}, {3})"" [4] 10 {0} State: 11 ""(0, {}, {2})"" [!1&!3] 11 [!1&2&3] 13 [!1&!2&3] 14 State: 12 ""(0, {}, {1})"" [!1&!2] 8 [1] 9 [!1&2] 12 {0} State: 13 ""(0, {2}, {12})"" [1] 9 [!1&2] 21 {0} [!1&!2&!3] 23 [!1&!2&3] 25 State: 14 ""(0, {}, {234})"" [!1&!3&!4] 11 [!1&2&3&!4] 13 [!1&!2&3&!4] 14 [1&2&3&4] 15 [!1&!2&4 | !1&!3&4] 16 [!1&2&3&4] 17 [1&!2&4 | 1&!3&4] 18 State: 15 ""(0, {3}, {35})"" [!4] 9 {0} [4] 30 {0} State: 16 ""(0, {3}, {234})"" [!1&!3&!4] 11 [!1&2&3&!4] 13 [!1&!2&3&!4] 14 [1&2&3&4] 15 [!1&!2&4 | !1&!3&4] 16 [!1&2&3&4] 17 [1&!2&4 | 1&!3&4] 18 State: 17 ""(0, {23}, {1236})"" [1&!4] 9 [1&4] 15 [!1&2&!4] 21 {0} [!1&2&4] 22 {0} [!1&!2&!3&!4] 23 [!1&!2&!3&4] 24 {0} [!1&!2&3&!4] 25 [!1&!2&3&4] 26 {0} State: 18 ""(0, {3}, {37})"" [2&3&!4] 9 [2&3&4] 15 [!2&4 | !3&4] 18 [!3&!4] 19 [!2&3&!4] 20 State: 19 ""(0, {}, {7})"" [2&3] 9 [!3] 19 [!2&3] 20 State: 20 ""(0, {}, {37})"" [2&3&!4] 9 [2&3&4] 15 [!2&4 | !3&4] 18 [!3&!4] 19 [!2&3&!4] 20 State: 21 ""(0, {}, {12})"" [1] 9 [!1&2&3] 21 {0} [!1&!2&3] 26 [!1&!2&!3] 38 [!1&2&!3] 40 State: 22 ""(0, {}, {1236})"" [1&!4] 9 [1&4] 15 [!1&2&3&!4] 21 {0} [!1&2&3&4] 22 {0} [!1&!2&3&!4] 26 [!1&!2&3&4] 27 [!1&!2&!3&4] 37 [!1&!2&!3&!4] 38 [!1&2&!3&!4] 40 [!1&2&!3&4] 45 State: 23 ""(0, {2}, {26})"" [1&4] 9 [!1&!3&!4] 11 {0} [!1&!2&3&!4] 14 {0} [!1&2&3&!4] 21 {0} [!1&!2&3&4] 26 {0} [!1&!3&4] 38 {0} [!1&2&3&4] 39 {0} State: 24 ""(0, {}, {236})"" [!1&!3&!4] 11 [!1&2&3&!4] 13 [!1&!2&3&!4] 14 [1&4] 15 [!1&!2&3&4] 27 [!1&2&3&4] 28 [!1&!3&4] 37 State: 25 ""(0, {234}, {2346})"" [!1&!3&!4] 11 {0} [!1&!2&3&!4] 14 {0} [!1&2&3&!4] 21 {0} [!1&2&3&4] 22 {0} [!1&!2&4 | !1&!3&4] 26 {0} [1&2&3&4] 30 {0} [1&!2&4 | 1&!3&4] 34 State: 26 ""(0, {}, {2346})"" [!1&!3&!4] 11 [!1&2&3&!4] 13 [!1&!2&3&!4] 14 [1&2&3&4] 15 [!1&!2&4 | !1&!3&4] 27 [!1&2&3&4] 28 [1&!2&4 | 1&!3&4] 29 State: 27 ""(0, {36}, {2346})"" [!1&!3&!4] 11 [!1&2&3&!4] 13 [!1&!2&3&!4] 14 [!1&!2&4 | !1&!3&4] 27 [!1&2&3&4] 28 [1&2&3&4] 30 {0} [1&!2&4 | 1&!3&4] 32 State: 28 ""(0, {236}, {1236})"" [1&!4] 9 [!1&2&!4] 21 {0} [!1&2&4] 22 {0} [!1&!2&!3&!4] 23 [!1&!2&!3&4] 24 {0} [!1&!2&3&!4] 25 [!1&!2&3&4] 26 {0} [1&4] 30 {0} State: 29 ""(0, {3}, {357})"" [2&3&!4] 9 {0} [2&3&4] 30 {0} [!3&!4] 31 [!2&4 | !3&4] 32 [!2&3&!4] 33 State: 30 ""(0, {}, {35})"" [!4] 9 {0} [4] 30 {0} State: 31 ""(0, {5}, {57})"" [2&3] 9 {0} [!3] 31 [!2&3] 33 State: 32 ""(0, {35}, {357})"" [2&3&!4] 9 {0} [2&3&4] 30 {0} [!3&!4] 31 [!2&4 | !3&4] 32 [!2&3&!4] 33 State: 33 ""(0, {5}, {357})"" [2&3&!4] 9 {0} [2&3&4] 30 {0} [!3&!4] 31 [!2&4 | !3&4] 32 [!2&3&!4] 33 State: 34 ""(0, {37}, {357})"" [2&3&!4] 9 {0} [2&3&4] 30 {0} [!3&!4] 35 {0} [!2&3 | !3&4] 36 {0} State: 35 ""(0, {}, {57})"" [2&3] 9 {0} [!3] 31 [!2&3] 33 State: 36 ""(0, {}, {357})"" [2&3&!4] 9 {0} [2&3&4] 30 {0} [!3&!4] 31 [!2&4 | !3&4] 32 [!2&3&!4] 33 State: 37 ""(0, {36}, {236})"" [!1&!3&!4] 11 [!1&2&3&!4] 13 [!1&!2&3&!4] 14 [!1&!2&3&4] 27 [!1&2&3&4] 28 [1&4] 30 {0} [!1&!3&4] 37 State: 38 ""(0, {}, {26})"" [1&4] 9 [!1&!3&!4] 11 [!1&2&3&!4] 13 [!1&!2&3&!4] 14 [!1&!3&4] 42 [!1&!2&3&4] 43 [!1&2&3&4] 44 State: 39 ""(0, {}, {126})"" [1] 9 [!1&2&3&!4] 21 {0} [!1&!2&3&!4] 26 [!1&!2&!3&!4] 38 [!1&2&3&4] 39 {0} [!1&2&!3&!4] 40 [!1&2&!3&4] 41 [!1&!2&!3&4] 42 [!1&!2&3&4] 43 State: 40 ""(0, {1}, {12})"" [1] 9 {0} [!1&2&3] 21 {0} [!1&2&!3] 40 [!1&!2&!3] 42 [!1&!2&3] 43 State: 41 ""(0, {16}, {126})"" [1] 9 {0} [!1&2&3&!4] 21 {0} [!1&2&3&4] 39 {0} [!1&2&!3&!4] 40 [!1&2&!3&4] 41 [!1&!2&!3] 42 [!1&!2&3] 43 State: 42 ""(0, {6}, {26})"" [1&4] 9 {0} [!1&!3&!4] 11 [!1&2&3&!4] 13 [!1&!2&3&!4] 14 [!1&!3&4] 42 [!1&!2&3&4] 43 [!1&2&3&4] 44 State: 43 ""(0, {6}, {2346})"" [!1&!3&!4] 11 [!1&2&3&!4] 13 [!1&!2&3&!4] 14 [!1&!2&4 | !1&!3&4] 27 [!1&2&3&4] 28 [1&2&3&4] 30 {0} [1&!2&4 | 1&!3&4] 32 State: 44 ""(0, {26}, {126})"" [1&!4] 9 [1&4] 9 {0} [!1&2&!4] 21 {0} [!1&!2&!3&!4] 23 [!1&!2&3&!4] 25 [!1&!2&3&4] 26 {0} [!1&!2&!3&4] 38 {0} [!1&2&4] 39 {0} State: 45 ""(0, {136}, {1236})"" [1&!4] 9 {0} [!1&2&3&!4] 21 {0} [!1&2&3&4] 22 {0} [!1&!2&3&4] 27 [1&4] 30 {0} [!1&!2&!3&4] 37 [!1&2&!3&!4] 40 [!1&!2&!3&!4] 42 [!1&!2&3&!4] 43 [!1&2&!3&4] 45 --END--"
